domain_url	tag2
entry.ym.163.com	企业邮箱
piao.163.com	电影
you.163.com	电商,严选
jl.163.com	精灵传说
xy2.cbg.163.com	新大话西游2,藏宝阁
caipiao.163.com	彩票
v.news.163.com	视频
auto.163.com	汽车
xy3.cbg.163.com	大话西游3,藏宝阁
photo.163.com	图片
saishi.caipiao.163.com	足球
vipmail.163.com	邮箱
xsd.163.com	小时代
bbs.sports.163.com	体育
tag.163.com	阅读
zh.house.163.com	房产,珠海
h.163.com	水手
fa.163.com	贵金属
cs.sports.163.com	中超
help.epay.163.com	网易宝
study.163.com	公开课
1.163.com	一元夺宝
digi.163.com	数码
xyq.cbg.163.com	梦幻西游,藏宝阁
mailease.163.com	邮箱
bbs.home.163.com	家居
8.163.com	理财
gov.163.com	政务
gz.house.163.com	房产,广州
qn.163.com	倩女幽魂2
ekey.163.com	将军令
travel.163.com	旅游
lady.163.com	女性
bbs.money.163.com	财经
pp.163.com	图片
goal.sports.163.com	足球
bbs.travel.163.com	旅游
xyqpk.webapp.163.com	梦幻西游2
c.163.com	蜂巢
2012.163.com	伦敦奥运会
wowui.w.163.com	魔兽世界
f1.163.com	赛车
v.sports.163.com	体育
dhxy.163.com	大话西游
cbg.163.com	藏宝阁
v.ent.163.com	视频
yzr.163.com	影之刃
ma.163.com	乖离性百万亚瑟王
2008.163.com	奥运会
data.163.com	新闻
discovery.163.com	探索
sc2.163.com	星际争霸II
game.163.com	游戏
bbs.gz.house.163.com	房产
mail.163.com	邮箱
dtws.163.com	大唐无双零
163.net	
163110.com	
1633.com	
163686.com	
1637.com	
163cp.com	
163disk.com	
163gq.com	
163gz.com	
163jiankang.com	
163k.com	
163liao.com	
163qb.com	
163xjk.cn	
v.163yesok.com	
163yesok.com	
163yu.com	
164580.com	
16466.com	
165xj.com	
16658.net	
1666.com	
1677.net	
16789.net	
16808.cn	
168258.com	
168510.com	
3c.1688.com	
baike.1688.com	
tao.1688.com	
56.1688.com	
food.1688.com	
114.1688.com	
qianniu.1688.com	
index.1688.com	
wangwang.1688.com	
daili.1688.com	
industry.1688.com	
s.1688.com	
club.1688.com	
fuzhuang.1688.com	
cxt.1688.com	
pifa.1688.com	
smart.1688.com	
1688.com	
16886000.com	
koubei.16888.com	
chezhan.16888.com	
logo.16888.com	
auto.16888.com	
16888.com	
jiashi.16888.com	
guide.16888.com	
app.16888.com	
yongche.16888.com	
top.16888.com	
news.16888.com	
1688ru.com	
1688wan.com	
168chaogu.com	
168fenlei.com	
job.168hs.com	
168hs.com	
bbs.168hs.com	
168kk.com	
168kn.com	
168pic.com	
168rc.com	
pf.168xiezi.com	
168xiezi.com	
168zzw.com	
169369.com	
169bb.com	
169mt.com	
ts.169ol.com	
169ol.com	
16buzhi.com	
16fafa.cn	
bbs.16fan.com	
16fan.com	
www.16first.com	
16floor.com	
16k.cn	
16kang.com	
16kbook.org	
16kxsw.com	
16movies.cn	
16pic.com	
www.16rd.com	
16sucai.com	
bbs.16xx8.com	
170.com	
www.170win.com	
17155.com	
wow.db.17173.com	
yl.17173.com	
tl.17173.com	
smite.17173.com	
nie.17173.com	
dota2.17173.com	
xys.17173.com	
wot.17173.com	
qn.17173.com	
moyu.17173.com	
bk.17173.com	
age.17173.com	
shendeng.17173.com	
tianyu.17173.com	
9yin.17173.com	
top.17173.com	
nz.17173.com	
asktao.17173.com	
xyq.17173.com	
ff14.17173.com	
ro.17173.com	
dn.17173.com	
d3.17173.com	
speed.17173.com	
wuxia.17173.com	
aion.17173.com	
act.17173.com	
download.17173.com	
17173.com	
dota.17173.com	
mxd.17173.com	
world2.17173.com	
x5.17173.com	
tx3.17173.com	
dzs.17173.com	
cg.17173.com	
bns.17173.com	
cf.17173.com	
pc.17173.com	
tera.17173.com	
acg.17173.com	
mu.17173.com	
w2i.17173.com	
zt2.17173.com	
popkart.17173.com	
1718china.com	
1718world.com	
171english.cn	
171zz.com	
172xiaoyuan.com	
bisai.172xiaoyuan.com	
173.com	
t.173.com	
173.hk	
1732.com	
17345.com	
173dm.com	
173js.cn	
comic.173kt.com	
173kt.com	
173uu.com	
games.173zy.com	
173zy.com	
game.173zy.com	
174399.com	
17495.com	
174yy.cn	
taihu.17500.cn	
ssq.17500.cn	
lebi.17500.cn	
bbs.17500.cn	
17500.cn	
175cinemas.com	
fs2.175game.com	
175game.com	
175kh.com	
175pt.com	
175yo.com	
176.com	
1766.cn	
176web.net	
176yc.com	
1773.com	
1775.cn	
1778go.com	
177dj.net	
177liuxue.cn	
wowui.178.com	
nz.178.com	
jx3.178.com	
mt.178.com	
qqxy.178.com	
x52.178.com	
photo.178.com	
dnf.178.com	
my.178.com	
wowdb.178.com	
w2i.178.com	
bigfoot.178.com	
wow.178.com	
aion.178.com	
xin.178.com	
news.178.com	
178.com	
bbs.178.com	
gw2.178.com	
acg.178.com	
donghua.178.com	
xa.178.com	
apt.178.com	
wuxia.178.com	
d3.178.com	
dota2.178.com	
nga.178.com	
9yin.178.com	
ku.178.com	
lol.178.com	
dkp.178.com	
cf.178.com	
hots.178.com	
esports.178.com	
